order,unique,drill,fruitingBodies ,insectDamage,typesInsects,notes 
288,isan5b,yes,white mycellium,2,tiny ants,
289,olst1c,yes,,,,all wet weight excess
294,isan5h,yes,orange hyphae,3,worm inside,
296,EXCU12,yes,,3,,
310,EUTE18,yes,yellow mycellium,2,,
312,ALLI22,yes,,1,"roaches, beetle, tiny ants",
314,BAAE33,no,yellow mycellium,2,,
316,LEPA26,yes,,1,"small roach, spider, springtails, etc",
317,BAAE314,no,yellow mycellium,0,"springtails, spider",
322,hase2f,yes,,3,,"rotted, may not survive drilling"
331,MEDE213,yes,,2,"springtails, tiny ants",
332,peli3k,yes,white mouldy,1,,
333,EUTE113,no,"yellow hyphae, 1 end covered",2,tiny ants,
334,olst3b,no,brown mycellium at ends,1,,
335,alli2a,yes,white mat/bright orange,0,"mites, tiny ants",
338,cota2f,no,orange hyphae,2,,very rotted
349,PEPU36,yes,yellow mycellium,2,"springtails, ants, winged ants",
358,JASC210,no,,,,
359,alli2f,yes,orange mycellium,3,,
375,isan5c,no,white fuzz,2,springtails,mostly intact
385,basp3a,yes,orange,0,,"intact, no rot"
386,EUSC25,yes,brown mycellium and mat,1,springtails,
392,basp2d,no,,0,,mostly intact
411,EUSC21,,white hyphae,1,springtails,
419,alli1f,no,orange hyphae,0,,mostly intact
423,acel1c,no,brown hyphae,0,"roach, springtails",mostly intact
425,eute3e,no,,3,,mostly rotted
426,hase1g,yes,,3,springtails,
430,eusc3k,yes,"orange hyphae, coiled",3,springtails,
434,peli3b,yes,orange hyphae/white hyphae,2,"slaters, tiny ants",
435,MEDE115,yes,yellow hyphae/white fuzz,1,,
449,isan1c,no,white hyphae,0,,
450,leer7f,yes,,0,,pretty much intact at centre
451,excu3j,yes,,0,springtails,
453,ALLI311,no,,,,missing
459,ripi3k,yes,,2,,took ripi3b in its place
476,LEPA32,yes,,0,"springtails, tiny ants",
478,lepa2g,yes,white hyphae,0,,
483,penu2n,yes,,3,,
486,baae3e,yes,,3,,mostly WWE
495,ACPA410,yes,brown mycellium at ends,0,springtails,
508,EUSC116,yes,white fuzz,2,beetle grub,"no tag, correct location"
522,ACPA39,yes,flat white/tan at end,0,,
523,EXCU212,yes,white fuzz/mould,0,slater,lots of grass growing in bark
531,baae3a,yes,white mouldy,1,,
535,pepu2h,yes,orange fruiting,0,,looks intact
536,ripi2d,yes,orange hyphae,2,,
537,acpa1c,no,white fuzz,1,,mostly intact
540,hase2a,no,white hyphal mat,0,"roach, springtails",mostly intact
544,basp1d,no,white hyphae,1,springtails,mostly intact
554,ACPA33,yes,brown mycellium and mat,0,"large stink bug, ants, springtail",no WWE
556,ANBA24,no,,4,springtails,mostly rotted
559,EXCU37,no,brown,2,"roach, ants, springtails",
561,EUTE17,no,white mycellium,2,"springtails, tiny ants",
562,penu2d,yes,yellow fuzz/mould,0,,
565,eusc2i,yes,,0,"springtails, tiny ants",mostly intact
584,mede1k,no,,0,,"intact, no rot"
585,acpa4e,no,white hyphae,0,,mostly intact
588,MEDE23,yes,green slime,2,jumping spider,grass growing on log
592,jasc3d,yes,white fuzz,1,,
593,peli3g,no,orange hyphae,1,roach,mostly intact
596,ripi2b,no,white fuzz,2,springtails,mostly intact
610,peli2e,no,brown hyphae/white fuzz,2,,mostly intact
612,ANBA16,no,white fuzz,3,beetle grub,
613,LEPA11,yes,white mycellium,1,"springtails, worm, ants",grass growing on log
616,JASC114,no,brown hyphae,2,tiny ants,most bark gone
618,ripi1f,no,brown hyphae,3,"springtails, spider",very rotted
624,leer6b,yes,white fuzz,0,,"intact, no WWE"
626,isan1f,no,,2,springtails,
631,excu3e,yes,brown hyphae,1,,
633,EUTE15,no,purple hyphae,2,"ants, springtails",
634,mede3b,no,,1,"springtail, small  worm",
639,baae2o,no,,0,,"intact, 2 pieces"
644,EUSC216,no,brown hyphae,3,,1/4 rotted
658,ALLI37,no,brown hyphae,1,tiny ants,
663,excu3i,no,,0,,"intact, no WWE"
664,eusc1h,no,,1,,
665,ACPA313,no,brown hyphal mat,1,,
671,penu2m,yes,,1,,mostly intact
672,ACPA14,no,brown hyphal mat,1,millions of tiny ants,
687,hase1c,no,brown hyphae,2,"roach, springtails",
710,eusc3d,no,,0,,"intact, no rot"
714,EUSC39,no,"purple, flat, velvety mat",0,tiny orange ants,most bark gone
715,hase2b,no,,4,,completely rotted/no sample
722,anba3g,no,orange hyphae,3,,all wet weight excess
726,EXCU15,no,,3,type unknown,1/4 rotted
729,BAAE215,no,,3,,mostly rotted
732,basp2m,no,,2,,
735,EXCU34,no,,3,beetle grub,1/4 rotted
736,cota6c,no,white mycellium,1,,
738,MEDE314,no,white & brown hyphae,2,springtails,
743,PELI114,no,yellow/white mycellium,1,"centipede, ants, spider",
744,pepu2i,no,yellow mycellium,0,,"intact, no WWE"
762,PELI118,no,white hyphae,1,"tiny ants, spider",
766,LEPA41,no,,1,"springtails, tiny ants",
767,anba3f,no,,3,"springtails, spider",all wet weight excess
769,leer10e,yes,,0,,looks intact
773,JASC219,no,,0,springtails,
775,acel5i,no,orange mat,0,,
780,lepa1f,yes,white hyphae,0,,
781,ALLI17,no,white hyphae,0,spider,
788,baae1a,no,,,,missing from plot
792,EUSC36,no,white hyphae,2,,
794,MEDE39,no,green mould,1,springtails,
797,PELI38,no,,3,millions of tiny ants/nest,
801,lepa2d,no,,0,,"bark flaked off in lab, intact underneath"
815,penu2g,no,,0,,"intact, no rot"
818,eute1e,no,,4,,missing/rotted
822,alli1i,no,,0,,"intact, no rot"
823,jasc3g,yes,,3,,mostly WWE
835,ACPA49,no,yellow mycellium,0,millions of tiny ants,"bark falling off, intact underneath"
842,cali1e,no,,0,,spongy at ends
844,PEPU22,yes,bracket fungi at ends/orange,1,"springtails, tiny ants","intact, no rot"
848,mede1l,no,,0,,"intact, no rot"
858,baae3l,no,,,,in 3 pieces
863,jasc2j,no,white mycellium,1,,
865,jasc3a,no,,0,,little bark off at 1 end/otherwise fine
868,acpa1j,no,,2,,"1 end rotted, rest is hard"
873,eute1l,no,,4,,completely rotted
874,PEPU211,no,,3,beetle grub x2,
876,penu2b,no,,0,,no WWE
878,ripi2j,no,,,,completely rotted
880,LEPA17,no,white mycellium,1,tiny ants,
885,leer10b,no,,0,,"intact, no rot"
890,pepu1h,no,,1,mantis,
895,LEPA21,no,,0,,bark mostly flaked off
899,leer8c,no,,0,,1 end rotted
913,jasc1j,no,,0,,looks intact/slightly soft
915,olst4g,no,,0,,"intact, no rot"
920,peli1e,no,brown hyphae,1,,
925,leer1e,no,,,,"intact, no rot"
927,excu2c,no,,0,,1 end rotted
931,PEPU113,no,,3,"springtails, tiny ants",grass growing on log
934,eusc2j,no,,2,,
939,penu5b,no,,2,,
949,lepa3g,no,,0,,bark all off
954,ANBA12,no,,1,"roach, springtails","bark full of holes, inner intact"
955,pepu2l,no,,2,tiny ants,no WWE
958,PEPU17,no,white mycellium,2,springtails,
971,cali2f,no,yellow mycellium,0,,1 end soft
973,alli3f,no,,0,,hard
981,MEDE32,no,white mouldy,1,springtails,
986,lepa3c,no,,,,"rotted, part fallen off, bark flaked off"
987,olst4a,no,,1,,looks intact/slightly soft
988,excu3h,no,,0,,"intact, no rot"
1013,cali2j,no,,0,,"intact, no rot"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
