"","code","alpha","beta","w.r2","w.t50","community","mean","se","n","upper","lower","size"
"24","EUSC",-0.287674758414705,0.657835197159321,0.0531876228805279,0.373542923492624,"patho",6,2.88675134594813,3,8.88675134594813,3.11324865405187,"large"
"25","EUSC",-0.287674758414705,0.657835197159321,0.0531876228805279,0.373542923492624,"sapro",6,2.3094010767585,3,8.3094010767585,3.6905989232415,"large"
"26","EUTE",-0.237699477885695,1.08916612647496,0.00766195882488632,0.716204372908828,"all",142.666666666667,19.9694210676669,3,162.636087734334,122.697245599,"large"
"27","EUTE",-0.237699477885695,1.08916612647496,0.00766195882488632,0.716204372908828,"basid",20,4.93288286231625,3,24.9328828623162,15.0671171376838,"large"
"28","EUTE",-0.237699477885695,1.08916612647496,0.00766195882488632,0.716204372908828,"oo",0,0,3,0,0,"large"
"29","EUTE",-0.237699477885695,1.08916612647496,0.00766195882488632,0.716204372908828,"patho",6.66666666666667,0.333333333333333,3,7,6.33333333333333,"large"
"30","EUTE",-0.237699477885695,1.08916612647496,0.00766195882488632,0.716204372908828,"sapro",5.66666666666667,0.666666666666667,3,6.33333333333333,5,"large"
"31","EXCU",0.0598883157267027,-0.387108720837224,0.037632347242596,-0.231166557650434,"all",205.333333333333,20.2182535788277,3,225.551586912161,185.115079754506,"large"
"32","EXCU",0.0598883157267027,-0.387108720837224,0.037632347242596,-0.231166557650434,"basid",30.3333333333333,5.2068331172711,3,35.5401664506044,25.1265002160622,"large"
"33","EXCU",0.0598883157267027,-0.387108720837224,0.037632347242596,-0.231166557650434,"oo",0,0,3,0,0,"large"
"34","EXCU",0.0598883157267027,-0.387108720837224,0.037632347242596,-0.231166557650434,"patho",13,2.3094010767585,3,15.3094010767585,10.6905989232415,"large"
"35","EXCU",0.0598883157267027,-0.387108720837224,0.037632347242596,-0.231166557650434,"sapro",12.3333333333333,2.72845092395748,3,15.0617842572908,9.60488240937585,"large"
"36","JASC",-0.218469170706589,0.813400081629864,-0.0181733661087321,0.52101952902818,"all",150,11.5036226178249,3,161.503622617825,138.496377382175,"large"
"37","JASC",-0.218469170706589,0.813400081629864,-0.0181733661087321,0.52101952902818,"basid",11.6666666666667,0.881917103688197,3,12.5485837703549,10.7847495629785,"large"
"38","JASC",-0.218469170706589,0.813400081629864,-0.0181733661087321,0.52101952902818,"oo",0,0,3,0,0,"large"
"39","JASC",-0.218469170706589,0.813400081629864,-0.0181733661087321,0.52101952902818,"patho",5.33333333333333,0.666666666666667,3,6,4.66666666666667,"large"
"40","JASC",-0.218469170706589,0.813400081629864,-0.0181733661087321,0.52101952902818,"sapro",4.33333333333333,0.333333333333333,3,4.66666666666667,4,"large"
"41","LEPA",-0.0662905521299462,1.11130434284307,-0.0872409785666893,0.767712758790097,"all",109.5,15.9504440899514,4,125.450444089951,93.5495559100486,"large"
"42","LEPA",-0.0662905521299462,1.11130434284307,-0.0872409785666893,0.767712758790097,"basid",15.5,2.9011491975882,4,18.4011491975882,12.5988508024118,"large"
"43","LEPA",-0.0662905521299462,1.11130434284307,-0.0872409785666893,0.767712758790097,"oo",0,0,4,0,0,"large"
"44","LEPA",-0.0662905521299462,1.11130434284307,-0.0872409785666893,0.767712758790097,"patho",5.5,1.5545631755148,4,7.0545631755148,3.9454368244852,"large"
"45","LEPA",-0.0662905521299462,1.11130434284307,-0.0872409785666893,0.767712758790097,"sapro",6.75,0.853912563829966,4,7.60391256382997,5.89608743617003,"large"
"46","MEDE",-0.0195658285274848,-0.278051940010487,0.0224420126501991,-0.185414002557889,"all",163,10.0166528008778,3,173.016652800878,152.983347199122,"large"
"47","MEDE",-0.0195658285274848,-0.278051940010487,0.0224420126501991,-0.185414002557889,"basid",17.6666666666667,2.40370085030933,3,20.070367516976,15.2629658163573,"large"
"48","MEDE",-0.0195658285274848,-0.278051940010487,0.0224420126501991,-0.185414002557889,"oo",0,0,3,0,0,"large"
"49","MEDE",-0.0195658285274848,-0.278051940010487,0.0224420126501991,-0.185414002557889,"patho",6.66666666666667,0.881917103688197,3,7.54858377035486,5.78474956297847,"large"
"50","MEDE",-0.0195658285274848,-0.278051940010487,0.0224420126501991,-0.185414002557889,"sapro",7,1.15470053837925,3,8.15470053837925,5.84529946162075,"large"
"51","PELI",-0.0243261928421764,-1.0223678257448,0.0288766792722493,-0.74356849655503,"all",108.333333333333,6.35959467611297,3,114.692928009446,101.97373865722,"large"
"52","PELI",-0.0243261928421764,-1.0223678257448,0.0288766792722493,-0.74356849655503,"basid",14,5.56776436283002,3,19.56776436283,8.43223563716998,"large"
"53","PELI",-0.0243261928421764,-1.0223678257448,0.0288766792722493,-0.74356849655503,"oo",0.666666666666667,0.666666666666667,3,1.33333333333333,0,"large"
"54","PELI",-0.0243261928421764,-1.0223678257448,0.0288766792722493,-0.74356849655503,"patho",5,1.15470053837925,3,6.15470053837925,3.84529946162075,"large"
"55","PELI",-0.0243261928421764,-1.0223678257448,0.0288766792722493,-0.74356849655503,"sapro",6.33333333333333,1.33333333333333,3,7.66666666666667,5,"large"
"56","PEPU",-0.210917270302008,0.268561696757726,-0.0602749442668589,0.166995886511299,"all",169,32.8075194632775,3,201.807519463278,136.192480536722,"large"
"57","PEPU",-0.210917270302008,0.268561696757726,-0.0602749442668589,0.166995886511299,"basid",20.3333333333333,2.33333333333333,3,22.6666666666667,18,"large"
"58","PEPU",-0.210917270302008,0.268561696757726,-0.0602749442668589,0.166995886511299,"oo",0,0,3,0,0,"large"
"59","PEPU",-0.210917270302008,0.268561696757726,-0.0602749442668589,0.166995886511299,"patho",6.33333333333333,0.881917103688197,3,7.21525043702153,5.45141622964514,"large"
"60","PEPU",-0.210917270302008,0.268561696757726,-0.0602749442668589,0.166995886511299,"sapro",6.33333333333333,1.85592145427667,3,8.18925478761001,4.47741187905666,"large"
